127.0.0.1 - - [15/Apr/2016:16:39:33 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/Main.jsp HTTP/1.1" 200 9789
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/css/normalize.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/css/bootstrap.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/css/owl.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/css/animate.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/fonts/font-awesome-4.1.0/css/font-awesome.min.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/fonts/eleganticons/et-icons.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/css/cardio.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/img/loader.gif HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/img/logo.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/img/icons/heart-blue.png HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [15/Apr/2016:16:39:38 +0900] "GET /Hospital_Reservation/img/icons/guru-blue.png HTTP/1.1" 304 -
