0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:00 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:00 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:00 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:00 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:01 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:09 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:09 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [31/May/2016:00:25:09 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [31/May/2016:00:27:45 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3799
0:0:0:0:0:0:0:1 - - [31/May/2016:00:27:45 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:27:45 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:04 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:04 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:04 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:04 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:04 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:36:05 +0900] "GET /Hospital_Reservation/view/doctorPro.jsp HTTP/1.1" 200 99
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:38 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3674
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:38 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:38 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:38 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:38 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:40 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:40 +0900] "GET /Hospital_Reservation/view/signin.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:40 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [31/May/2016:00:43:40 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
