0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:50 +0900] "GET /Hospital_Reservation/view/rsv_diagnosis.jsp?ydate=2016-06-01%2000:27&doctor=Doctor4&subject=Internal%20Medicine HTTP/1.1" 200 4834
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:50 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:50 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:52 +0900] "POST /Hospital_Reservation/view/rsvPro.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:54 +0900] "GET /Hospital_Reservation/view/rsv_Login.jsp?ydate=2016-06-01%2000:27&doctor=Doctor4&subject=Internal%20Medicine HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:54 +0900] "GET /Hospital_Reservation/view/rsv_diagnosis.jsp?ydate=2016-06-01%2000:27&doctor=Doctor4&subject=Internal%20Medicine HTTP/1.1" 200 4834
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:54 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:54 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:55 +0900] "POST /Hospital_Reservation/view/rsvPro.jsp HTTP/1.1" 200 113
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:57 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 6507
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:27:57 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [01/Jun/2016:00:28:03 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3636
