127.0.0.1 - - [18/May/2016:23:58:03 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:05 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:05 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:05 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:05 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:08 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3835
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:08 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:08 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:08 +0900] "GET /favicon.ico HTTP/1.1" 404 1016
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:10 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:10 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:10 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:12 +0900] "POST /Hospital_Reservation/view/loginPro.jsp HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:12 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 3796
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:12 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:12 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:13 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:13 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:13 +0900] "GET /admin/clinic/image/reserv_dot.gif HTTP/1.1" 404 1060
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:14 +0900] "GET /img/favicon.ico HTTP/1.1" 404 1024
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:15 +0900] "GET /Hospital_Reservation/view/Reservation.jsp HTTP/1.1" 200 6338
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:15 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:22 +0900] "GET /Hospital_Reservation/view/rsv_Login.jsp?ydate=2016-05-18%2023:58&doctor=Doctor1&subject=Otolaryngology HTTP/1.1" 302 -
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:22 +0900] "GET /Hospital_Reservation/view/rsv_diagnosis.jsp?ydate=2016-05-18%2023:58&doctor=Doctor1&subject=Otolaryngology HTTP/1.1" 200 4831
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:22 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:22 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:26 +0900] "POST /Hospital_Reservation/view/rsvPro.jsp HTTP/1.1" 200 118
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:29 +0900] "GET /Hospital_Reservation/view/rsv_Confirm.jsp HTTP/1.1" 200 3624
0:0:0:0:0:0:0:1 - - [18/May/2016:23:58:29 +0900] "GET /admin/clinic/style.css HTTP/1.1" 404 1038
