127.0.0.1 - - [21/Apr/2016:21:33:37 +0900] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:45 +0900] "GET /Hospital_Reservation/view/Cover.jsp HTTP/1.1" 200 2299
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:46 +0900] "GET /Hospital_Reservation/view/cover.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:46 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:46 +0900] "GET /dist/css/bootstrap.min.css HTTP/1.1" 404 1046
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:46 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:46 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:52 +0900] "GET /Hospital_Reservation/view/main.jsp HTTP/1.1" 200 4002
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:52 +0900] "GET /Hospital_Reservation/view/jumbotron.css HTTP/1.1" 200 56
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:52 +0900] "GET /dist/js/bootstrap.min.js HTTP/1.1" 404 1042
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:52 +0900] "GET /Hospital_Reservation/view/602720.jpg HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:33:52 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:34:51 +0900] "GET /Hospital_Reservation/view/loginForm.jsp HTTP/1.1" 200 3557
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:34:51 +0900] "GET /assets/js/ie-emulation-modes-warning.js HTTP/1.1" 404 1072
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:34:51 +0900] "GET /assets/js/ie10-viewport-bug-workaround.js HTTP/1.1" 404 1076
0:0:0:0:0:0:0:1 - - [21/Apr/2016:21:34:51 +0900] "GET /Hospital_Reservation/view/signin.css HTTP/1.1" 200 833
